Date,Gender,Annual Income,Company,Model,Transmission,Color,Price ($),Body Style,Dealer_Region,Year,Month
2022-01-02,Male,13500,Ford,Expedition,Auto,Black,26000,Suv,Middletown,2022,1
2022-01-02,Male,1480000,Dodge,Durango,Auto,Black,19000,Suv,Aurora,2022,1
2022-01-02,Male,1035000,Cadillac,Eldorado,Manual,Red,31500,Passenger,Greenville,2022,1
2022-01-02,Male,13500,Toyota,Celica,Manual,Pale white,14000,Suv,Pasco,2022,1
2022-01-02,Male,1465000,Acura,Tl,Auto,Red,24500,Hatchback,Janesville,2022,1
2022-01-02,Male,850000,Mitsubishi,Diamante,Manual,Pale white,12000,Hatchback,Scottsdale,2022,1
2022-01-02,Male,1600000,Toyota,Corolla,Manual,Pale white,14000,Passenger,Austin,2022,1
2022-01-02,Male,13500,Mitsubishi,Galant,Auto,Pale white,42000,Passenger,Austin,2022,1
2022-01-02,Male,815000,Chevrolet,Malibu,Manual,Pale white,82000,Hardtop,Pasco,2022,1
2022-01-02,Female,13500,Ford,Escort,Auto,Pale white,15000,Passenger,Scottsdale,2022,1
2022-01-02,Male,13500,Acura,Rl,Manual,Pale white,31000,Suv,Austin,2022,1
2022-01-02,Male,13500,Nissan,Pathfinder,Auto,Pale white,46000,Hardtop,Pasco,2022,1
2022-01-02,Male,885000,Mercury,Grand marquis,Auto,Black,9000,Suv,Aurora,2022,1
2022-01-02,Male,13500,Bmw,323i,Auto,Pale white,15000,Hatchback,Greenville,2022,1
2022-01-02,Male,722000,Chrysler,Sebring coupe,Manual,Pale white,26000,Sedan,Middletown,2022,1
2022-01-02,Male,746000,Subaru,Forester,Manual,Pale white,17000,Hatchback,Aurora,2022,1
2022-01-02,Female,535000,Hyundai,Accent,Manual,Black,18000,Hatchback,Greenville,2022,1
2022-01-02,Female,570000,Cadillac,Eldorado,Auto,Pale white,31000,Passenger,Pasco,2022,1
2022-01-02,Male,685000,Toyota,Land cruiser,Auto,Pale white,33000,Suv,Janesville,2022,1
2022-01-02,Male,455000,Honda,Accord,Auto,Pale white,21000,Sedan,Scottsdale,2022,1
2022-01-02,Male,13500,Toyota,4runner,Manual,Black,25000,Sedan,Austin,2022,1
2022-01-02,Male,2500000,Infiniti,I30,Auto,Black,21000,Hardtop,Austin,2022,1
2022-01-02,Male,585000,Audi,A4,Manual,Pale white,12000,Hardtop,Middletown,2022,1
2022-01-02,Male,920000,Porsche,Carrera cabrio,Auto,Pale white,18000,Passenger,Pasco,2022,1
2022-01-02,Male,672000,Volkswagen,Jetta,Auto,Pale white,22000,Passenger,Janesville,2022,1
2022-01-02,Male,801250,Dodge,Viper,Auto,Pale white,31250,Suv,Scottsdale,2022,1
2022-01-02,Female,820000,Buick,Regal,Auto,Black,19000,Passenger,Austin,2022,1
2022-01-02,Male,791000,Chrysler,Lhs,Manual,Pale white,41000,Hatchback,Janesville,2022,1
2022-01-02,Male,13500,Chrysler,Lhs,Manual,Pale white,41000,Hatchback,Janesville,2022,1
2022-01-02,Male,1020000,Saturn,Lw,Manual,Pale white,13000,Hatchback,Scottsdale,2022,1
2022-01-02,Male,210000,Mitsubishi,3000gt,Manual,Pale white,20000,Sedan,Austin,2022,1
2022-01-02,Male,750000,Mercedes-b,Slk230,Manual,Pale white,14000,Hatchback,Middletown,2022,1
2022-01-02,Male,635000,Honda,Accord,Auto,Pale white,19000,Sedan,Aurora,2022,1
2022-01-02,Male,675000,Honda,Civic,Manual,Black,43000,Hatchback,Greenville,2022,1
2022-01-02,Male,880000,Jaguar,S-type,Auto,Black,16000,Passenger,Pasco,2022,1
2022-01-03,Male,13500,Volvo,S40,Auto,Pale white,42000,Sedan,Middletown,2022,1
2022-01-03,Male,13500,Mercury,Mountaineer,Auto,Pale white,21000,Suv,Aurora,2022,1
2022-01-03,Male,13500,Buick,Park avenue,Auto,Black,61000,Hatchback,Greenville,2022,1
2022-01-03,Male,941000,Mitsubishi,Montero sport,Auto,Pale white,39000,Suv,Pasco,2022,1
2022-01-03,Female,13500,Nissan,Sentra,Auto,Black,16000,Passenger,Pasco,2022,1
2022-01-03,Male,13500,Chrysler,Sebring coupe,Manual,Pale white,26000,Sedan,Janesville,2022,1
2022-01-03,Female,13500,Volvo,S80,Manual,Pale white,21000,Sedan,Scottsdale,2022,1
2022-01-03,Male,967500,Chevrolet,Lumina,Manual,Black,42500,Passenger,Austin,2022,1
2022-01-03,Male,600000,Mitsubishi,Montero sport,Auto,Black,45001,Hatchback,Middletown,2022,1
2022-01-03,Male,575000,Pontiac,Bonneville,Manual,Black,36001,Hatchback,Aurora,2022,1
2022-01-03,Male,566000,Mercedes-b,C-class,Manual,Pale white,12000,Hatchback,Greenville,2022,1
2022-01-03,Male,1250000,Bmw,323i,Manual,Pale white,21001,Hatchback,Pasco,2022,1
2022-01-03,Male,730000,Acura,Tl,Auto,Pale white,29000,Hatchback,Scottsdale,2022,1
2022-01-03,Male,4060000,Nissan,Altima,Auto,Pale white,20000,Hatchback,Austin,2022,1
2022-01-03,Male,13500,Cadillac,Deville,Auto,Pale white,22000,Suv,Middletown,2022,1
2022-01-03,Male,1180000,Dodge,Stratus,Auto,Pale white,31000,Hatchback,Aurora,2022,1
2022-01-03,Male,1360000,Audi,A4,Auto,Black,27000,Hardtop,Austin,2022,1
2022-01-03,Female,640000,Mercury,Cougar,Auto,Black,33000,Hatchback,Scottsdale,2022,1
2022-01-03,Male,615000,Chevrolet,Malibu,Manual,Pale white,14000,Hardtop,Middletown,2022,1
2022-01-03,Male,520000,Acura,Rl,Manual,Pale white,17000,Suv,Middletown,2022,1
2022-01-04,Male,1876000,Saturn,Sw,Auto,Pale white,25600,Passenger,Janesville,2022,1
2022-01-04,Male,13500,Volvo,C70,Manual,Black,17000,Hatchback,Scottsdale,2022,1
2022-01-04,Male,13500,Mercury,Mountaineer,Manual,Pale white,21000,Suv,Austin,2022,1
2022-01-04,Male,890000,Mercedes-b,C-class,Manual,Pale white,12000,Hatchback,Middletown,2022,1
2022-01-04,Male,1800000,Mercedes-b,Slk,Manual,Pale white,17000,Passenger,Aurora,2022,1
2022-01-04,Male,1330000,Toyota,Tacoma,Manual,Black,36000,Hardtop,Janesville,2022,1
2022-01-04,Male,393000,Mercedes-b,C-class,Manual,Pale white,17000,Hatchback,Janesville,2022,1
2022-01-04,Male,440000,Mercedes-b,M-class,Manual,Pale white,41000,Hatchback,Austin,2022,1
2022-01-04,Female,280000,Audi,A6,Auto,Black,14000,Suv,Middletown,2022,1
2022-01-04,Male,1151000,Dodge,Intrepid,Auto,Pale white,31100,Sedan,Greenville,2022,1
2022-01-04,Male,1650000,Buick,Park avenue,Auto,Black,61000,Hatchback,Pasco,2022,1
2022-01-04,Male,13500,Dodge,Viper,Manual,Black,26000,Suv,Janesville,2022,1
2022-01-04,Male,895000,Toyota,Sienna,Manual,Black,12000,Passenger,Aurora,2022,1
2022-01-04,Female,660000,Volvo,S40,Auto,Pale white,42000,Sedan,Greenville,2022,1
2022-01-04,Male,13500,Mitsubishi,Diamante,Auto,Pale white,21000,Hatchback,Pasco,2022,1
2022-01-05,Male,1636000,Cadillac,Deville,Auto,Pale white,22600,Suv,Middletown,2022,1
2022-01-05,Female,1000000,Jaguar,S-type,Manual,Pale white,45000,Passenger,Aurora,2022,1
2022-01-05,Female,745000,Mitsubishi,Eclipse,Manual,Black,25000,Suv,Greenville,2022,1
2022-01-05,Male,300000,Ford,Contour,Auto,Pale white,62000,Sedan,Pasco,2022,1
2022-01-05,Male,1097000,Volkswagen,Jetta,Auto,Black,22700,Passenger,Janesville,2022,1
2022-01-05,Female,542000,Mitsubishi,Montero sport,Auto,Black,45000,Suv,Scottsdale,2022,1
2022-01-05,Male,1200000,Lincoln,Town car,Manual,Black,17000,Hatchback,Pasco,2022,1
2022-01-05,Male,490000,Ford,Focus,Manual,Black,49000,Hardtop,Austin,2022,1
2022-01-05,Male,410000,Audi,A6,Manual,Black,15000,Suv,Scottsdale,2022,1
2022-01-05,Male,930000,Acura,Tl,Auto,Black,28000,Hatchback,Austin,2022,1
2022-01-05,Male,480000,Nissan,Pathfinder,Auto,Pale white,46000,Hardtop,Greenville,2022,1
2022-01-05,Female,1360000,Ford,Mustang,Manual,Pale white,43000,Hatchback,Aurora,2022,1
2022-01-05,Male,2200000,Oldsmobile,Cutlass,Auto,Pale white,41000,Sedan,Aurora,2022,1
2022-01-05,Female,1100000,Chevrolet,Corvette,Auto,Pale white,45000,Suv,Greenville,2022,1
2022-01-05,Male,13500,Chevrolet,Impala,Manual,Pale white,22001,Hatchback,Pasco,2022,1
2022-01-05,Male,1700000,Volkswagen,Cabrio,Manual,Pale white,25001,Sedan,Janesville,2022,1
2022-01-05,Male,1908000,Dodge,Dakota,Manual,Pale white,12800,Sedan,Scottsdale,2022,1
2022-01-05,Male,13500,Chrysler,300m,Auto,Black,26000,Suv,Austin,2022,1
2022-01-05,Male,13500,Bmw,328i,Auto,Black,18000,Sedan,Scottsdale,2022,1
2022-01-05,Male,2550000,Oldsmobile,Bravada,Auto,Pale white,19000,Hatchback,Austin,2022,1
2022-01-05,Male,1245000,Nissan,Maxima,Manual,Pale white,22500,Sedan,Middletown,2022,1
2022-01-05,Male,13500,Dodge,Ram pickup,Manual,Pale white,21001,Hardtop,Austin,2022,1
2022-01-05,Male,1115000,Chrysler,Concorde,Auto,Pale white,46500,Hardtop,Aurora,2022,1
2022-01-05,Male,13500,Chrysler,300m,Auto,Pale white,16000,Suv,Pasco,2022,1
2022-01-05,Male,2110000,Volvo,V70,Auto,Black,39000,Passenger,Janesville,2022,1
2022-01-05,Female,13500,Nissan,Quest,Manual,Black,19000,Suv,Scottsdale,2022,1
2022-01-05,Male,1050000,Chrysler,Lhs,Auto,Black,26000,Hatchback,Austin,2022,1
2022-01-05,Male,13500,Honda,Accord,Manual,Black,43000,Sedan,Janesville,2022,1
2022-01-05,Female,13500,Nissan,Maxima,Manual,Pale white,54000,Sedan,Scottsdale,2022,1
2022-01-05,Male,320000,Dodge,Durango,Auto,Pale white,22000,Suv,Austin,2022,1
2022-01-06,Male,13500,Lexus,Es300,Auto,Black,16001,Suv,Austin,2022,1
2022-01-06,Female,760000,Bmw,328i,Auto,Black,16001,Sedan,Middletown,2022,1
2022-01-06,Male,1390000,Toyota,Land cruiser,Auto,Pale white,12000,Suv,Greenville,2022,1
2022-01-06,Male,659000,Mercedes-b,Sl-class,Manual,Black,38000,Hardtop,Janesville,2022,1
2022-01-06,Male,1330000,Ford,Explorer,Auto,Pale white,42000,Hatchback,Middletown,2022,1
2022-01-06,Male,13500,Nissan,Pathfinder,Auto,Pale white,21000,Hatchback,Aurora,2022,1
2022-01-06,Female,13500,Volvo,C70,Auto,Black,49000,Hatchback,Janesville,2022,1
2022-01-06,Male,1362000,Chevrolet,Prizm,Manual,Pale white,21200,Hardtop,Pasco,2022,1
2022-01-06,Male,480000,Mercury,Grand marquis,Manual,Pale white,71000,Suv,Middletown,2022,1
2022-01-06,Female,365000,Chevrolet,Camaro,Auto,Pale white,17000,Sedan,Aurora,2022,1
2022-01-09,Female,481000,Subaru,Outback,Auto,Pale white,57001,Suv,Aurora,2022,1
2022-01-09,Male,700000,Buick,Park avenue,Auto,Pale white,62001,Hatchback,Greenville,2022,1
2022-01-09,Male,1350000,Ford,Taurus,Manual,Black,69001,Suv,Pasco,2022,1
2022-01-09,Male,750000,Chevrolet,Cavalier,Manual,Pale white,20001,Suv,Janesville,2022,1
2022-01-09,Male,451000,Audi,A4,Auto,Black,27000,Hardtop,Austin,2022,1
2022-01-09,Female,650000,Ford,Focus,Manual,Black,49000,Hardtop,Janesville,2022,1
2022-01-09,Male,700000,Mitsubishi,Diamante,Manual,Black,49000,Hatchback,Austin,2022,1
2022-01-09,Female,13500,Lexus,Gs400,Auto,Black,12000,Hatchback,Middletown,2022,1
2022-01-09,Female,1220000,Mercedes-b,M-class,Manual,Pale white,25000,Hatchback,Greenville,2022,1
2022-01-09,Male,1300000,Chrysler,Concorde,Auto,Pale white,42000,Hatchback,Pasco,2022,1
2022-01-09,Male,470000,Chrysler,Sebring coupe,Auto,Pale white,19000,Sedan,Janesville,2022,1
2022-01-09,Female,1167500,Chevrolet,Monte carlo,Manual,Pale white,26750,Hatchback,Scottsdale,2022,1
2022-01-09,Male,3000000,Cadillac,Eldorado,Auto,Pale white,31000,Passenger,Austin,2022,1
2022-01-09,Male,1900000,Saturn,Lw,Manual,Pale white,49000,Hatchback,Middletown,2022,1
2022-01-09,Female,1690000,Hyundai,Sonata,Manual,Black,15000,Suv,Aurora,2022,1
2022-01-09,Male,2800000,Mercury,Sable,Auto,Pale white,26000,Sedan,Greenville,2022,1
2022-01-09,Male,642000,Mercedes-b,Sl-class,Manual,Pale white,17000,Hardtop,Greenville,2022,1
2022-01-09,Female,705000,Volvo,C70,Manual,Pale white,24000,Hatchback,Pasco,2022,1
2022-01-09,Male,670000,Chevrolet,Metro,Auto,Pale white,19000,Passenger,Janesville,2022,1
2022-01-09,Male,13500,Jaguar,S-type,Manual,Pale white,20000,Passenger,Scottsdale,2022,1
2022-01-10,Female,1985000,Acura,Tl,Auto,Black,28501,Hatchback,Scottsdale,2022,1
2022-01-10,Male,1275000,Bmw,323i,Auto,Pale white,15500,Hatchback,Aurora,2022,1
2022-01-10,Male,13500,Plymouth,Voyager,Manual,Pale white,20000,Passenger,Austin,2022,1
2022-01-10,Male,1650000,Nissan,Maxima,Manual,Pale white,29000,Sedan,Pasco,2022,1
2022-01-10,Male,520500,Chrysler,Cirrus,Auto,Pale white,12500,Passenger,Austin,2022,1
2022-01-12,Female,500000,Mercury,Grand marquis,Manual,Pale white,16001,Suv,Austin,2022,1
2022-01-12,Male,1172500,Lexus,Es300,Auto,Pale white,27250,Suv,Middletown,2022,1
2022-01-12,Male,441000,Dodge,Intrepid,Manual,Black,11000,Sedan,Aurora,2022,1
2022-01-12,Male,1310000,Nissan,Maxima,Manual,Pale white,22001,Sedan,Greenville,2022,1
2022-01-12,Male,13500,Dodge,Avenger,Auto,Pale white,22000,Passenger,Pasco,2022,1
2022-01-12,Male,1200000,Chevrolet,Corvette,Manual,Pale white,22000,Suv,Janesville,2022,1
2022-01-12,Male,1680000,Acura,Rl,Manual,Black,18000,Suv,Greenville,2022,1
2022-01-12,Male,1340000,Honda,Odyssey,Manual,Pale white,27000,Passenger,Pasco,2022,1
2022-01-12,Female,901000,Oldsmobile,Intrigue,Manual,Pale white,25000,Suv,Janesville,2022,1
2022-01-12,Female,849500,Acura,Rl,Manual,Pale white,26500,Suv,Scottsdale,2022,1
2022-01-12,Male,13500,Ford,Taurus,Manual,Black,69000,Suv,Austin,2022,1
2022-01-12,Female,1071500,Oldsmobile,Silhouette,Manual,Pale white,14150,Sedan,Middletown,2022,1
2022-01-12,Male,1740000,Saab,5-sep,Manual,Pale white,28000,Hatchback,Janesville,2022,1
2022-01-12,Male,13500,Honda,Civic,Manual,Black,43000,Hatchback,Scottsdale,2022,1
2022-01-12,Male,1700000,Bmw,528i,Manual,Pale white,25000,Suv,Austin,2022,1
2022-01-12,Male,1100000,Oldsmobile,Silhouette,Auto,Pale white,12000,Sedan,Middletown,2022,1
2022-01-12,Male,13500,Lexus,Ls400,Auto,Black,39000,Sedan,Aurora,2022,1
2022-01-12,Male,2155000,Cadillac,Eldorado,Auto,Black,60500,Passenger,Greenville,2022,1
2022-01-12,Male,13500,Volkswagen,Jetta,Auto,Pale white,16000,Passenger,Janesville,2022,1
2022-01-12,Male,13500,Pontiac,Bonneville,Auto,Pale white,19000,Hatchback,Scottsdale,2022,1
2022-01-12,Male,661000,Chevrolet,Monte carlo,Manual,Black,44000,Hatchback,Austin,2022,1
2022-01-12,Female,13500,Oldsmobile,Aurora,Manual,Pale white,71000,Passenger,Middletown,2022,1
2022-01-12,Male,13500,Ford,Mustang,Manual,Pale white,25000,Hatchback,Aurora,2022,1
2022-01-12,Male,2750000,Mitsubishi,Diamante,Auto,Black,18000,Hatchback,Greenville,2022,1
2022-01-12,Male,13500,Ford,Expedition,Manual,Pale white,22000,Suv,Middletown,2022,1
2022-01-12,Male,13500,Mercedes-b,M-class,Manual,Pale white,41000,Hardtop,Middletown,2022,1
2022-01-12,Female,13500,Ford,Focus,Manual,Black,49000,Hardtop,Greenville,2022,1
2022-01-12,Male,950000,Volkswagen,Jetta,Auto,Pale white,19000,Passenger,Pasco,2022,1
2022-01-12,Female,715000,Bmw,528i,Manual,Black,21000,Suv,Janesville,2022,1
