Gender,Annual Income,Company,Transmission,Color,Price ($),Body Style,Dealer_Region
Male,13500,Ford,Auto,Black,26000,Suv,Middletown
Male,1480000,Dodge,Auto,Black,19000,Suv,Aurora
Male,1035000,Cadillac,Manual,Red,31500,Passenger,Greenville
Male,13500,Toyota,Manual,Pale white,14000,Suv,Pasco
Male,1465000,Acura,Auto,Red,24500,Hatchback,Janesville
Male,850000,Mitsubishi,Manual,Pale white,12000,Hatchback,Scottsdale
Male,1600000,Toyota,Manual,Pale white,14000,Passenger,Austin
Male,13500,Mitsubishi,Auto,Pale white,42000,Passenger,Austin
Male,815000,Chevrolet,Manual,Pale white,82000,Hardtop,Pasco
Female,13500,Ford,Auto,Pale white,15000,Passenger,Scottsdale
Male,13500,Acura,Manual,Pale white,31000,Suv,Austin
Male,13500,Nissan,Auto,Pale white,46000,Hardtop,Pasco
Male,885000,Mercury,Auto,Black,9000,Suv,Aurora
Male,13500,Bmw,Auto,Pale white,15000,Hatchback,Greenville
Male,722000,Chrysler,Manual,Pale white,26000,Sedan,Middletown
Male,746000,Subaru,Manual,Pale white,17000,Hatchback,Aurora
Female,535000,Hyundai,Manual,Black,18000,Hatchback,Greenville
Female,570000,Cadillac,Auto,Pale white,31000,Passenger,Pasco
Male,685000,Toyota,Auto,Pale white,33000,Suv,Janesville
Male,455000,Honda,Auto,Pale white,21000,Sedan,Scottsdale
Male,13500,Toyota,Manual,Black,25000,Sedan,Austin
Male,2500000,Infiniti,Auto,Black,21000,Hardtop,Austin
Male,585000,Audi,Manual,Pale white,12000,Hardtop,Middletown
Male,920000,Porsche,Auto,Pale white,18000,Passenger,Pasco
Male,672000,Volkswagen,Auto,Pale white,22000,Passenger,Janesville
Male,801250,Dodge,Auto,Pale white,31250,Suv,Scottsdale
Female,820000,Buick,Auto,Black,19000,Passenger,Austin
Male,791000,Chrysler,Manual,Pale white,41000,Hatchback,Janesville
Male,13500,Chrysler,Manual,Pale white,41000,Hatchback,Janesville
Male,1020000,Saturn,Manual,Pale white,13000,Hatchback,Scottsdale
Male,210000,Mitsubishi,Manual,Pale white,20000,Sedan,Austin
Male,750000,Mercedes-b,Manual,Pale white,14000,Hatchback,Middletown
Male,635000,Honda,Auto,Pale white,19000,Sedan,Aurora
Male,675000,Honda,Manual,Black,43000,Hatchback,Greenville
Male,880000,Jaguar,Auto,Black,16000,Passenger,Pasco
Male,13500,Volvo,Auto,Pale white,42000,Sedan,Middletown
Male,13500,Mercury,Auto,Pale white,21000,Suv,Aurora
Male,13500,Buick,Auto,Black,61000,Hatchback,Greenville
Male,941000,Mitsubishi,Auto,Pale white,39000,Suv,Pasco
Female,13500,Nissan,Auto,Black,16000,Passenger,Pasco
Male,13500,Chrysler,Manual,Pale white,26000,Sedan,Janesville
Female,13500,Volvo,Manual,Pale white,21000,Sedan,Scottsdale
Male,967500,Chevrolet,Manual,Black,42500,Passenger,Austin
Male,600000,Mitsubishi,Auto,Black,45001,Hatchback,Middletown
Male,575000,Pontiac,Manual,Black,36001,Hatchback,Aurora
Male,566000,Mercedes-b,Manual,Pale white,12000,Hatchback,Greenville
Male,1250000,Bmw,Manual,Pale white,21001,Hatchback,Pasco
Male,730000,Acura,Auto,Pale white,29000,Hatchback,Scottsdale
Male,4060000,Nissan,Auto,Pale white,20000,Hatchback,Austin
Male,13500,Cadillac,Auto,Pale white,22000,Suv,Middletown
Male,1180000,Dodge,Auto,Pale white,31000,Hatchback,Aurora
Male,1360000,Audi,Auto,Black,27000,Hardtop,Austin
Female,640000,Mercury,Auto,Black,33000,Hatchback,Scottsdale
Male,615000,Chevrolet,Manual,Pale white,14000,Hardtop,Middletown
Male,520000,Acura,Manual,Pale white,17000,Suv,Middletown
Male,1876000,Saturn,Auto,Pale white,25600,Passenger,Janesville
Male,13500,Volvo,Manual,Black,17000,Hatchback,Scottsdale
Male,13500,Mercury,Manual,Pale white,21000,Suv,Austin
Male,890000,Mercedes-b,Manual,Pale white,12000,Hatchback,Middletown
Male,1800000,Mercedes-b,Manual,Pale white,17000,Passenger,Aurora
Male,1330000,Toyota,Manual,Black,36000,Hardtop,Janesville
Male,393000,Mercedes-b,Manual,Pale white,17000,Hatchback,Janesville
Male,440000,Mercedes-b,Manual,Pale white,41000,Hatchback,Austin
Female,280000,Audi,Auto,Black,14000,Suv,Middletown
Male,1151000,Dodge,Auto,Pale white,31100,Sedan,Greenville
Male,1650000,Buick,Auto,Black,61000,Hatchback,Pasco
Male,13500,Dodge,Manual,Black,26000,Suv,Janesville
Male,895000,Toyota,Manual,Black,12000,Passenger,Aurora
Female,660000,Volvo,Auto,Pale white,42000,Sedan,Greenville
Male,13500,Mitsubishi,Auto,Pale white,21000,Hatchback,Pasco
Male,1636000,Cadillac,Auto,Pale white,22600,Suv,Middletown
Female,1000000,Jaguar,Manual,Pale white,45000,Passenger,Aurora
Female,745000,Mitsubishi,Manual,Black,25000,Suv,Greenville
Male,300000,Ford,Auto,Pale white,62000,Sedan,Pasco
Male,1097000,Volkswagen,Auto,Black,22700,Passenger,Janesville
Female,542000,Mitsubishi,Auto,Black,45000,Suv,Scottsdale
Male,1200000,Lincoln,Manual,Black,17000,Hatchback,Pasco
Male,490000,Ford,Manual,Black,49000,Hardtop,Austin
Male,410000,Audi,Manual,Black,15000,Suv,Scottsdale
Male,930000,Acura,Auto,Black,28000,Hatchback,Austin
Male,480000,Nissan,Auto,Pale white,46000,Hardtop,Greenville
Female,1360000,Ford,Manual,Pale white,43000,Hatchback,Aurora
Male,2200000,Oldsmobile,Auto,Pale white,41000,Sedan,Aurora
Female,1100000,Chevrolet,Auto,Pale white,45000,Suv,Greenville
Male,13500,Chevrolet,Manual,Pale white,22001,Hatchback,Pasco
Male,1700000,Volkswagen,Manual,Pale white,25001,Sedan,Janesville
Male,1908000,Dodge,Manual,Pale white,12800,Sedan,Scottsdale
Male,13500,Chrysler,Auto,Black,26000,Suv,Austin
Male,13500,Bmw,Auto,Black,18000,Sedan,Scottsdale
Male,2550000,Oldsmobile,Auto,Pale white,19000,Hatchback,Austin
Male,1245000,Nissan,Manual,Pale white,22500,Sedan,Middletown
Male,13500,Dodge,Manual,Pale white,21001,Hardtop,Austin
Male,1115000,Chrysler,Auto,Pale white,46500,Hardtop,Aurora
Male,13500,Chrysler,Auto,Pale white,16000,Suv,Pasco
Male,2110000,Volvo,Auto,Black,39000,Passenger,Janesville
Female,13500,Nissan,Manual,Black,19000,Suv,Scottsdale
Male,1050000,Chrysler,Auto,Black,26000,Hatchback,Austin
Male,13500,Honda,Manual,Black,43000,Sedan,Janesville
Female,13500,Nissan,Manual,Pale white,54000,Sedan,Scottsdale
Male,320000,Dodge,Auto,Pale white,22000,Suv,Austin
Male,13500,Lexus,Auto,Black,16001,Suv,Austin
Female,760000,Bmw,Auto,Black,16001,Sedan,Middletown
Male,1390000,Toyota,Auto,Pale white,12000,Suv,Greenville
Male,659000,Mercedes-b,Manual,Black,38000,Hardtop,Janesville
Male,1330000,Ford,Auto,Pale white,42000,Hatchback,Middletown
Male,13500,Nissan,Auto,Pale white,21000,Hatchback,Aurora
Female,13500,Volvo,Auto,Black,49000,Hatchback,Janesville
Male,1362000,Chevrolet,Manual,Pale white,21200,Hardtop,Pasco
Male,480000,Mercury,Manual,Pale white,71000,Suv,Middletown
Female,365000,Chevrolet,Auto,Pale white,17000,Sedan,Aurora
Female,481000,Subaru,Auto,Pale white,57001,Suv,Aurora
Male,700000,Buick,Auto,Pale white,62001,Hatchback,Greenville
Male,1350000,Ford,Manual,Black,69001,Suv,Pasco
Male,750000,Chevrolet,Manual,Pale white,20001,Suv,Janesville
Male,451000,Audi,Auto,Black,27000,Hardtop,Austin
Female,650000,Ford,Manual,Black,49000,Hardtop,Janesville
Male,700000,Mitsubishi,Manual,Black,49000,Hatchback,Austin
Female,13500,Lexus,Auto,Black,12000,Hatchback,Middletown
Female,1220000,Mercedes-b,Manual,Pale white,25000,Hatchback,Greenville
Male,1300000,Chrysler,Auto,Pale white,42000,Hatchback,Pasco
Male,470000,Chrysler,Auto,Pale white,19000,Sedan,Janesville
Female,1167500,Chevrolet,Manual,Pale white,26750,Hatchback,Scottsdale
Male,3000000,Cadillac,Auto,Pale white,31000,Passenger,Austin
Male,1900000,Saturn,Manual,Pale white,49000,Hatchback,Middletown
Female,1690000,Hyundai,Manual,Black,15000,Suv,Aurora
Male,2800000,Mercury,Auto,Pale white,26000,Sedan,Greenville
Male,642000,Mercedes-b,Manual,Pale white,17000,Hardtop,Greenville
Female,705000,Volvo,Manual,Pale white,24000,Hatchback,Pasco
Male,670000,Chevrolet,Auto,Pale white,19000,Passenger,Janesville
Male,13500,Jaguar,Manual,Pale white,20000,Passenger,Scottsdale
Female,1985000,Acura,Auto,Black,28501,Hatchback,Scottsdale
Male,1275000,Bmw,Auto,Pale white,15500,Hatchback,Aurora
Male,13500,Plymouth,Manual,Pale white,20000,Passenger,Austin
Male,1650000,Nissan,Manual,Pale white,29000,Sedan,Pasco
Male,520500,Chrysler,Auto,Pale white,12500,Passenger,Austin
Female,500000,Mercury,Manual,Pale white,16001,Suv,Austin
Male,1172500,Lexus,Auto,Pale white,27250,Suv,Middletown
Male,441000,Dodge,Manual,Black,11000,Sedan,Aurora
Male,1310000,Nissan,Manual,Pale white,22001,Sedan,Greenville
Male,13500,Dodge,Auto,Pale white,22000,Passenger,Pasco
Male,1200000,Chevrolet,Manual,Pale white,22000,Suv,Janesville
Male,1680000,Acura,Manual,Black,18000,Suv,Greenville
Male,1340000,Honda,Manual,Pale white,27000,Passenger,Pasco
Female,901000,Oldsmobile,Manual,Pale white,25000,Suv,Janesville
Female,849500,Acura,Manual,Pale white,26500,Suv,Scottsdale
Male,13500,Ford,Manual,Black,69000,Suv,Austin
Female,1071500,Oldsmobile,Manual,Pale white,14150,Sedan,Middletown
Male,1740000,Saab,Manual,Pale white,28000,Hatchback,Janesville
Male,13500,Honda,Manual,Black,43000,Hatchback,Scottsdale
Male,1700000,Bmw,Manual,Pale white,25000,Suv,Austin
Male,1100000,Oldsmobile,Auto,Pale white,12000,Sedan,Middletown
Male,13500,Lexus,Auto,Black,39000,Sedan,Aurora
Male,2155000,Cadillac,Auto,Black,60500,Passenger,Greenville
Male,13500,Volkswagen,Auto,Pale white,16000,Passenger,Janesville
Male,13500,Pontiac,Auto,Pale white,19000,Hatchback,Scottsdale
Male,661000,Chevrolet,Manual,Black,44000,Hatchback,Austin
Female,13500,Oldsmobile,Manual,Pale white,71000,Passenger,Middletown
Male,13500,Ford,Manual,Pale white,25000,Hatchback,Aurora
Male,2750000,Mitsubishi,Auto,Black,18000,Hatchback,Greenville
Male,13500,Ford,Manual,Pale white,22000,Suv,Middletown
Male,13500,Mercedes-b,Manual,Pale white,41000,Hardtop,Middletown
Female,13500,Ford,Manual,Black,49000,Hardtop,Greenville
Male,950000,Volkswagen,Auto,Pale white,19000,Passenger,Pasco
Female,715000,Bmw,Manual,Black,21000,Suv,Janesville
Female,13500,Subaru,Auto,Black,22000,Hardtop,Scottsdale
Female,847000,Plymouth,Manual,Pale white,16000,Suv,Scottsdale
Female,13500,Volkswagen,Auto,Pale white,45000,Suv,Austin
Male,1176500,Dodge,Manual,Black,11650,Sedan,Middletown
Male,955000,Hyundai,Manual,Pale white,26000,Sedan,Aurora
Male,800000,Saturn,Manual,Black,36000,Passenger,Aurora
Male,13500,Lincoln,Manual,Pale white,82000,Passenger,Greenville
Female,13500,Chevrolet,Auto,Pale white,24000,Sedan,Pasco
Male,626800,Nissan,Manual,Pale white,11800,Hardtop,Austin
Male,2115000,Toyota,Auto,Pale white,27500,Hatchback,Pasco
Male,2810000,Mercury,Auto,Pale white,36000,Passenger,Janesville
Male,13500,Jaguar,Manual,Pale white,20000,Passenger,Scottsdale
Male,13500,Mercedes-b,Manual,Pale white,17000,Passenger,Austin
Male,1589000,Volkswagen,Auto,Pale white,16900,Passenger,Pasco
Male,1385000,Buick,Auto,Pale white,46500,Passenger,Janesville
Male,2000000,Mercedes-b,Auto,Black,14000,Hatchback,Scottsdale
Male,951000,Toyota,Manual,Black,16000,Passenger,Austin
Male,1390000,Volvo,Manual,Black,22000,Hardtop,Austin
Male,2320000,Nissan,Auto,Pale white,20000,Hatchback,Middletown
Female,2752000,Toyota,Manual,Pale white,14200,Suv,Aurora
Male,655000,Saturn,Auto,Pale white,51000,Sedan,Greenville
Male,890000,Mitsubishi,Manual,Pale white,19000,Hatchback,Greenville
Male,1330000,Lexus,Auto,Pale white,31000,Hatchback,Pasco
Male,13500,Porsche,Auto,Pale white,32000,Passenger,Janesville
Male,900000,Dodge,Auto,Pale white,31000,Hatchback,Scottsdale
Male,570000,Oldsmobile,Manual,Pale white,14000,Sedan,Scottsdale
Male,715000,Audi,Manual,Black,25000,Suv,Austin
Female,630000,Oldsmobile,Auto,Pale white,46000,Sedan,Janesville
Female,700500,Mercedes-b,Auto,Black,39500,Suv,Scottsdale
Male,2130000,Mitsubishi,Auto,Black,39000,Sedan,Middletown
Male,13500,Bmw,Auto,Black,31000,Suv,Aurora
Male,2950000,Chevrolet,Manual,Pale white,41000,Hatchback,Greenville
Male,2150000,Chrysler,Auto,Pale white,22000,Suv,Pasco
Female,1700000,Ford,Manual,Black,22000,Hatchback,Middletown
Male,13500,Dodge,Auto,Pale white,41000,Suv,Aurora
Male,1540000,Jaguar,Manual,Pale white,21000,Passenger,Greenville
